Year,Total meat per year ,Annual CO2 emissions (tonnes)
1990,8087.909024,22728.989
1991,8177.781469,23186.102
1992,9039.221688,22528.172
1993,9097.2315,22755.787
1994,9087.99515,22992.947
1995,9212.301543,23532.083
1996,9201.099251,24258.169
1997,9196.514622,24401.906
1998,9381.75182,24303.778
1999,9466.437594,24853.73
2000,9638.501673,25510.554
2001,9639.592127,25706.293
2002,9868.556338,26276.87
2003,9930.427458,27669.49
2004,10050.87852,28632.506
2005,10237.51829,29614.395
2006,10348.55953,30628.397
2007,10724.42812,31534.645
2008,10848.93842,32074.2
2009,10789.80493,31541.922
2010,10824.82453,33355.903
2011,10855.32356,34504.54
2012,10916.41068,35000.02
2013,10940.03348,35301.655
2014,10998.31083,35450.094
2015,11099.87,35404.9
2016,11165.40731,35416.658
2017,11234.45542,35989.897
2018,11476.97331,36730.425
2019,12156.97278,37104.275
2020,12168.2855,35126.526
2021,12419.93586,36991.734
2022,12473.17743,37293.834
