Year,Total Meat Supply Per Year ,World population,Beef and Buffalo (Consumption in Tonnes),Pigmeat (Consumption in Tonnes),Sheep and goat (Consumption in Tonnes),Poultry (Consumption in Tonnes),Total Meat Consumption Per Year (tonnes)
1990,8087.909024,5327803106,55296249,69961242,9700135,40888699,175846325
1991,8177.781469,5418735886,55971962,71175560,9886255,43108432,180142209
1992,9039.221688,5505989815,55155188,72582896,9917651,45235543,182891278
1993,9097.2315,5591544802,54593928,74069539,10069961,47942684,186676112
1994,9087.99515,5675551258,55141617,76289904,10291586,50732981,192456088
1995,9212.301543,5758878977,55715509,77293291,10536962,54494000,198039762
1996,9201.099251,5842055730,56481202,77725613,10230728,55992506,200430049
1997,9196.514622,5924787819,57264704,78434659,10593733,59383794,205676890
1998,9381.75182,6007066691,57147758,83250958,10993608,62035043,213427367
1999,9466.437594,6089006328,58243850,84755294,11235500,65037460,219272104
2000,9638.501673,6171702992,58918981,86266628,11541612,68541484,225268705
2001,9639.592127,6254936464,57934414,86623473,11584135,70976322,227118344
2002,9868.556338,6337730343,59562204,89184687,11591485,73721682,234060058
2003,9930.427458,6420361633,59895864,92694955,11864248,75255784,239710851
2004,10050.87852,6503377774,60939684,93127319,12216082,78013544,244296629
2005,10237.51829,6586970132,62244696,95517179,12679549,80816671,251258095
2006,10348.55953,6671452019,64067994,97492614,12815846,82977700,257354154
2007,10724.42812,6757308776,65690802,100280476,13215183,87620700,266807161
2008,10848.93842,6844457659,65838913,103040505,13289796,92436679,274605893
2009,10789.80493,6932766416,65937905,104706835,13341872,95105449,279092061
2010,10824.82453,7021732143,66661508,107436186,13380130,99344916,286822740
2011,10855.32356,7110923773,66264948,107397247,13474299,102846961,289983455
2012,10916.41068,7201202478,66899253,110620301,13713681,106013985,297247220
2013,10940.03348,7291793585,67994737,112333009,14054819,109019989,303402554
2050,,9771822600,106000000,143000000,25000000,181000000,455000000
