Date,Close/Last,Volume,Open,High,Low
11/07/2025,$4.09,5469291,$3.91,$4.18,$3.65
11/06/2025,$4.05,3263484,$4.02,$4.215,$3.98
11/05/2025,$4.08,5258469,$4.21,$4.30,$4.05
11/04/2025,$4.15,3965993,$4.37,$4.57,$4.11
11/03/2025,$4.57,4280574,$4.87,$5.00,$4.465
10/31/2025,$4.95,4391795,$4.89,$4.995,$4.79
10/30/2025,$4.90,4833029,$5.46,$5.55,$4.88
10/29/2025,$5.37,4102373,$5.58,$5.58,$5.22
10/28/2025,$5.59,3208301,$5.27,$5.63,$5.20
10/27/2025,$5.25,4662448,$5.60,$5.70,$5.12
10/24/2025,$5.59,3636657,$5.80,$5.90,$5.50
10/23/2025,$5.59,4471757,$5.57,$5.69,$5.41
10/22/2025,$5.50,5892044,$5.47,$5.59,$5.192
10/21/2025,$5.71,6171628,$5.55,$5.795,$5.39
10/20/2025,$5.56,8624175,$5.19,$5.69,$5.12
10/17/2025,$5.03,8342304,$5.225,$5.33,$4.81
10/16/2025,$5.305,14788930,$6.06,$6.30,$5.25
10/15/2025,$5.92,36027560,$4.51,$6.55,$4.50
10/14/2025,$4.45,2509062,$4.26,$4.64,$4.21
10/13/2025,$4.345,2662138,$4.35,$4.46,$4.195
10/10/2025,$4.32,4691761,$4.50,$4.53,$4.10
10/09/2025,$4.45,4196052,$4.54,$4.72,$4.43
10/08/2025,$4.53,5798083,$4.12,$4.82,$4.10
10/07/2025,$4.12,4106541,$4.21,$4.26,$4.00
10/06/2025,$4.16,2781095,$4.03,$4.22,$4.01
10/03/2025,$3.96,2387668,$4.02,$4.12,$3.881
10/02/2025,$3.97,5391415,$3.77,$3.98,$3.75
10/01/2025,$3.70,2288798,$3.54,$3.76,$3.52
09/30/2025,$3.55,2228872,$3.53,$3.585,$3.42
09/29/2025,$3.54,2864916,$3.37,$3.575,$3.28
09/26/2025,$3.34,3970810,$3.39,$3.49,$3.325
09/25/2025,$3.39,1968183,$3.395,$3.43,$3.31
09/24/2025,$3.41,3128991,$3.35,$3.58,$3.335
09/23/2025,$3.26,2229605,$3.25,$3.36,$3.22
09/22/2025,$3.25,3109087,$3.05,$3.29,$2.93
09/19/2025,$3.09,13041560,$3.31,$3.35,$3.07
09/18/2025,$3.29,4881802,$3.10,$3.37,$3.10
09/17/2025,$3.04,2676886,$3.11,$3.19,$2.995
09/16/2025,$3.10,2309641,$3.25,$3.28,$3.09
09/15/2025,$3.23,4540817,$3.26,$3.33,$3.07
09/12/2025,$3.22,3002537,$3.40,$3.40,$3.18
09/11/2025,$3.40,5587706,$2.91,$3.415,$2.905
09/10/2025,$2.91,3842677,$3.03,$3.04,$2.865
09/09/2025,$3.02,2076659,$3.01,$3.03,$2.92
09/08/2025,$3.00,2567470,$3.028,$3.028,$2.90
09/05/2025,$2.96,3614561,$2.97,$3.00,$2.85
09/04/2025,$2.98,2211469,$2.99,$2.99,$2.85
09/03/2025,$2.99,3953518,$2.84,$3.01,$2.77
09/02/2025,$2.84,4435992,$3.01,$3.085,$2.82
08/29/2025,$3.06,3284528,$3.03,$3.15,$3.00
08/28/2025,$3.01,8695349,$3.39,$3.4193,$2.98
08/27/2025,$3.37,4569191,$3.24,$3.49,$3.21
08/26/2025,$3.22,6605922,$3.35,$3.38,$3.1501
08/25/2025,$3.35,3032490,$3.58,$3.66,$3.35
08/22/2025,$3.58,3676198,$3.65,$3.775,$3.5508
08/21/2025,$3.60,2507624,$3.46,$3.615,$3.33
08/20/2025,$3.47,4893820,$3.40,$3.50,$3.24
08/19/2025,$3.46,4569444,$3.38,$3.49,$3.24
08/18/2025,$3.40,4851142,$3.33,$3.475,$3.27
08/15/2025,$3.33,6149668,$3.41,$3.415,$3.29
08/14/2025,$3.43,4438236,$3.28,$3.46,$3.24
08/13/2025,$3.33,5985496,$3.16,$3.40,$3.11
08/12/2025,$3.11,7475630,$2.90,$3.17,$2.85
08/11/2025,$2.92,6034345,$2.98,$3.005,$2.85
08/08/2025,$3.00,8489902,$3.05,$3.255,$2.95
08/07/2025,$2.97,31400780,$3.255,$3.32,$2.88
08/06/2025,$4.25,2545675,$4.28,$4.28,$4.09
08/05/2025,$4.26,2431704,$4.29,$4.365,$4.18
08/04/2025,$4.23,3672551,$3.95,$4.30,$3.85
08/01/2025,$3.91,4047811,$3.94,$4.065,$3.86
07/31/2025,$4.06,3580505,$4.295,$4.30,$4.04
07/30/2025,$4.36,3281039,$4.42,$4.6992,$4.32
07/29/2025,$4.45,5200095,$4.88,$4.88,$4.38
07/28/2025,$4.88,4330867,$4.98,$5.079,$4.82
07/25/2025,$4.95,5328826,$5.18,$5.20,$4.715
07/24/2025,$5.13,6590895,$5.25,$5.33,$5.05
07/23/2025,$5.14,6297443,$4.95,$5.22,$4.875
07/22/2025,$4.87,4159909,$4.45,$4.89,$4.33
07/21/2025,$4.44,5194345,$4.68,$4.80,$4.165
07/18/2025,$4.63,5027741,$4.58,$4.64,$4.3812
07/17/2025,$4.45,4190638,$4.31,$4.59,$4.30
07/16/2025,$4.33,3530309,$4.18,$4.385,$4.0912
07/15/2025,$4.18,4958417,$4.22,$4.27,$4.09
07/14/2025,$4.22,5837762,$4.19,$4.45,$4.035
07/11/2025,$4.18,5056765,$4.00,$4.32,$3.99
07/10/2025,$4.06,5651631,$4.06,$4.19,$3.96
07/09/2025,$4.05,11623370,$4.18,$4.37,$3.765
07/08/2025,$3.89,14106360,$3.18,$3.91,$3.16
07/07/2025,$3.10,4536904,$3.18,$3.24,$3.0238
07/03/2025,$3.19,6180967,$3.01,$3.24,$2.935
07/02/2025,$2.92,7685572,$2.83,$3.07,$2.81
07/01/2025,$2.83,5816326,$2.76,$2.905,$2.60
06/30/2025,$2.73,4799437,$2.82,$3.005,$2.70
06/27/2025,$2.81,5968115,$2.90,$2.9011,$2.79
06/26/2025,$2.87,2813043,$2.89,$2.91,$2.81
06/25/2025,$2.90,3533299,$2.97,$2.98,$2.80
06/24/2025,$2.97,5849193,$2.64,$3.00,$2.60
06/23/2025,$2.60,16165240,$2.62,$3.23,$2.58
06/20/2025,$2.61,11689650,$2.83,$2.8389,$2.59
06/18/2025,$2.76,3520850,$2.80,$2.97,$2.70
06/17/2025,$2.81,5165809,$2.56,$2.85,$2.53
06/16/2025,$2.52,2373441,$2.63,$2.635,$2.43
06/13/2025,$2.59,2485679,$2.50,$2.64,$2.41
06/12/2025,$2.54,3667664,$2.66,$2.6937,$2.43
06/11/2025,$2.70,2933878,$2.94,$3.015,$2.68
06/10/2025,$2.91,3739912,$2.84,$3.08,$2.81
06/09/2025,$2.83,3729647,$2.95,$3.03,$2.8001
06/06/2025,$2.84,5921874,$2.58,$2.94,$2.575
06/05/2025,$2.55,6263689,$2.32,$2.59,$2.26
06/04/2025,$2.32,1104503,$2.35,$2.38,$2.28
06/03/2025,$2.34,2824380,$2.22,$2.44,$2.10
06/02/2025,$2.20,2629829,$2.20,$2.34,$2.17
05/30/2025,$2.17,4703807,$2.22,$2.2492,$2.11
05/29/2025,$2.27,3094721,$2.29,$2.35,$2.16
05/28/2025,$2.25,4253223,$2.00,$2.30,$1.985
05/27/2025,$2.00,6336574,$2.08,$2.155,$1.975
05/23/2025,$1.99,2314179,$1.94,$2.075,$1.94
05/22/2025,$2.00,3059619,$1.91,$2.03,$1.81
05/21/2025,$1.96,4878169,$2.075,$2.075,$1.90
05/20/2025,$2.09,10250550,$1.74,$2.0999,$1.625
05/19/2025,$1.68,4156393,$1.72,$1.825,$1.66
05/16/2025,$1.745,1272675,$1.74,$1.76,$1.67
05/15/2025,$1.71,2843204,$1.76,$1.78,$1.60
